VIN,Make,Model,Color,Year,Mileage,Price
300339af-abfc-447,GMC,Savana 2500,Blue,1997,73340,9.99
30febc20-2850-48b,Ford,E-Series,Purple,2006,47648,12.99
8697803a-3b28-481,GMC,Savana 2500,White,2006,52690,59.99
51d44563-7935-44e,Chrysler,Aspen,Magenta,2007,85052,4.99
51702d1b-b6f6-466,Buick,Park Avenue,White,1999,62287,49.99
a5a25281-aa26-483,Chevrolet,Tracker,Blue,2000,84916,2.79
5e7d2f72-0c1e-4c3,Scion,xB,Gray,2010,78295,5.89
980c2cef-7a2f-410,GMC,Sierra 3500,Gold,2005,49825,99.99
a9594048-dfb1-4bd,Chevrolet,Classic,Purple,2005,82968,359.99
d298dafd-8b15-483,Nissan,NX,Magenta,1992,63597,39.99
1c3438a8-cc17-431,GMC,Safari,Cyan,1992,39571,1.29
5541e420-3609-498,Volkswagen,Jetta,Brown,1987,56426,6.99
de8f6c98-964f-4d9,Volkswagen,Type 2,Orange,1986,60002,1.29
dd79bb85-21a8-419,Jaguar,XK Series,Black,2013,66132,4.99
f624a1fb-3368-495,Buick,Skylark,Pink,1992,41699,69.99
203f88c4-628b-48c,Honda,Pilot,Teal,2006,60214,2.99
37085326-c831-42a,Lexus,HS,Red,2012,39986,39.99
9eafa858-2cbe-4f9,Pontiac,Bonneville,Yellow,1996,36003,29.99
3283fcf9-e71f-485,Audi,90,Green,1994,31680,3.79
6a337c89-97f5-47a,Pontiac,Bonneville,Red,1995,96354,1.29
fb1e616e-4485-4d5,Toyota,Tacoma Xtra,Cyan,2004,38745,89.99
ccdb77e8-66cf-471,Suzuki,Verona,Gray,2006,70355,1.49
c89d082b-361a-4ea,Volkswagen,Quantum,Brown,1984,70602,2.49
23e2a4bb-76b7-406,Oldsmobile,Silhouette,Purple,1999,33766,59.99
27b34043-0f76-48b,Hyundai,Tucson,Yellow,2011,60202,24.99
e39a103c-9321-433,Lincoln,Town Car,Pink,1984,79776,14.99
d5b2e1c9-2cda-4c6,Volkswagen,Jetta,White,1986,90487,3.29
94d1e164-65ec-437,Honda,CR-V,Black,2010,47157,4.99
68e4759d-f86e-43b,Saab,9-3,Green,2003,55514,69.99
d4b8d905-c252-4ba,Infiniti,QX56,Blue,2010,69847,19.99
2e0535f3-d7fa-445,Dodge,Neon,Orange,1999,33610,79.99
0eb1ee18-6d56-49b,Mitsubishi,Eclipse,Gold,1996,78184,4.49
ae17c5fd-7904-44d,Infiniti,G,Magenta,2000,44529,249.99
56bb44d9-755b-478,Ford,Tempo,Teal,1987,71791,25.99
d8b1da18-0d5d-40b,Chevrolet,Avalanche,Green,2012,52339,39.99
057f3536-6d23-4f1,Ford,F350,Cyan,2001,55406,19.99
ba40defe-18af-43d,GMC,Suburban 2500,Brown,1993,70777,5.49
8d1ef9ab-9adc-482,Dodge,Ram Van 2500,Yellow,2000,28605,24.99
8a29bca7-2122-4dd,Morgan,Aero 8,Blue,2006,80185,2.49
68e4925b-f5d4-47e,Mazda,RX-8,Pink,2011,43874,12.99
83d42004-38ae-465,Land Rover,Defender,Orange,1995,56400,6.49
3dc7d13d-a73f-433,GMC,Jimmy,Teal,1993,65615,1.5
f416a60b-c970-4bc,Acura,RSX,Purple,2006,53156,39.99
f62aafa2-5035-4e5,Audi,S5,Magenta,2008,85467,44.99
774dc4eb-a65b-428,Porsche,944,White,1990,48587,1.79
e0a8346c-fb6f-4f2,Nissan,Maxima,Gray,2001,36790,22
d481e730-1fd0-4ce,Chevrolet,S10,Black,1996,47577,29.99
d8c5e0ce-4a34-440,Cadillac,XLR,Gold,2009,81972,39.99
eecbedd6-aa25-4db,Chevrolet,Uplander,Red,2008,86869,10.99
014ea7ab-9a37-49c,Mazda,626,Gray,1994,82925,299.99
fb5b644c-57ed-49d,Land Rover,Range Rover Evoque,Red,2012,82391,18.99
8babe4da-e6ab-493,Chevrolet,S10 Blazer,Pink,1993,88273,2.29
a5c9b8e0-c969-42b,Pontiac,Firebird,Black,1987,63740,3.99
a610c509-a9d0-4a1,BMW,760,Purple,2003,72607,4.5
f87e0c6b-1a1c-4a9,Oldsmobile,Toronado,Green,1992,77768,24.99
3c40c1b7-a0a2-4a5,Pontiac,Sunfire,Cyan,1997,66811,49.99
2d0ba5a9-b46b-4bd,Lexus,LS,White,2005,51236,4.49
774afca0-a3f9-472,Ford,Freestyle,Blue,2006,57269,69.99
12275060-ee29-4f5,Audi,A3,Gold,2012,71608,39.99
1fba256d-2a8b-44d,Subaru,XT,Brown,1991,66093,2.99
eb285a33-c744-478,Isuzu,Trooper,Orange,1999,73040,1.99
d8f3f06c-7cad-440,Mitsubishi,Cordia,Magenta,1987,54583,3.49
27d3ea26-b978-4e3,Mitsubishi,Challenger,Teal,2000,50275,19.99
16ca65e2-6987-4c9,Porsche,Panamera,Yellow,2011,56314,29.99
121d6da2-2818-45e,Chevrolet,Bel Air,Orange,1967,31428,3.99
925d80c1-a93a-4f1,Buick,Century,Black,1994,47363,59.99
06180501-8ee3-409,Lamborghini,Gallardo,Green,2007,85351,39.99
babc1d54-1734-4ad,Nissan,Cube,Teal,2012,57548,3.99
ffec30d1-c79c-432,Mazda,Mazda6 Sport,White,2006,72238,3.29
c974a06d-76f1-4c0,Chevrolet,Camaro,Gold,2001,74148,4.99
0cdb6809-7200-4c9,Mazda,Protege,Red,1993,35714,19.99
53581ee4-5179-4d4,Pontiac,Grand Prix,Magenta,1985,65470,2.49
d3c908c5-7ff6-402,Acura,RSX,Pink,2004,58830,2.99
dc2c9c10-c244-4ca,Lincoln,Navigator,Blue,2006,77785,2.79
